Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,1,240.0568,213,268.025,-26.21,1.16,5.62,-13.66,189.44
2,4,358.221,326,391,-24.33,6.34,11.46,-8.93,188.04
3,33,388.6086,356,422,-15.7,18.76,13.41,0.61,224.91
4,195,375.2096,344,407,-6.3,26.83,21.22,9.11,234.74
5,516,364.403,334,396,1.67,32.7,88.29,16.08,238.67
6,822,358.9446,328,390,8.86,32.57,97.67,20.21,224.5
7,1038,359.022,328,391,13.53,34.12,117.11,23.89,237.15
8,881,364.644,333,396,11.39,33.16,175.63,22.17,196.53
9,492,375.9604,344,406,1.85,28.22,83.37,16.25,222.86
10,169,389.2598,357,423,-6.56,24.51,26.34,7.47,223.19
11,21,358.9608,326,392,-18.24,14.12,22.57,-2.98,167.84
12,2,240.7094,213,269,-24.94,3.14,10.62,-11.27,172.29
