Province,latitude,R_herb_2.5,R_herb_5,R_WD_2.5,R_WD_5,R_all_2.5,R_all_5
Anhui,32.014,0.702,0.934,0.108,0.212,0.602,0.751
Fujian,26.004,0.614,0.614,0.426,0.426,0.732,0.732
Gansu,35.949,0.565,0.861,0.128,0.336,0.607,0.858
Guangdong,23.277,0.634,0.63,0.376,0.376,0.684,0.684
Guangxi,23.015,0.587,0.587,0.337,0.337,0.573,0.573
Guizhou,26.668,0.5,0.821,0.238,0.238,0.507,0.642
Hainan,19.222,0.625,0.625,0.574,0.574,0.783,0.783
Hebei,38.222,0.714,0.877,0.436,0.436,0.638,0.924
Heilongjiang,46.77,0.711,0.9,0.201,0.166,0.68,0.934
Henan,33.8,0.844,0.844,0.183,0.244,0.794,0.794
Hubei,32.014,0.794,0.794,0.086,0.185,0.411,0.599
Hunan,28.016,0.56,0.841,0.16,0.209,0.496,0.624
Jiangsu,32.472,0.718,0.945,0.223,0.109,0.694,0.868
Jiangxi,27.735,0.55,0.869,0.118,0.186,0.507,0.569
Jilin,43.501,0.781,0.781,0.241,0.373,0.817,0.817
Liaoning,41.474,0.836,0.836,0.289,0.035,0.874,0.874
Neimenggu,41.386,0.71,0.828,0.449,0.332,0.768,0.768
Ningxia,37.366,0.858,0.858,0.384,0.216,0.853,0.853
Qinghai,35.723,0.667,0.909,0.443,0.767,0.719,0.719
Shaanxi,37.699,0.599,0.849,0.126,0.227,0.616,0.803
Shandong,36.178,0.871,0.871,0.349,0.248,0.896,0.896
Shanxi,34.115,0.786,0.919,0.357,0.357,0.739,0.94
Sichuan,30.277,0.608,0.73,0.135,0.196,0.399,0.699
Xinjiang,42.002,0.816,0.816,0.548,0.548,0.819,0.819
Tibet,31.101,0.616,0.616,0.215,0.306,0.333,0.519
Yunnan,24.141,0.32,0.605,0.29,0.29,0.44,0.593
Zhejiang,29.105,0.824,0.943,0.113,0.198,0.605,0.784
